﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7oApc5R2CgBqi7Agdf1xrO","I Don't Think You Like Me","Tired Lion","Figurine","1","4","184577","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:39bGIsdgb3YRaXQrjaB2op","I Love Playin' With Fire","The Runaways","The Runaways - The Mercury Albums Anthology","2","6","201213","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:3g7WsaWWBaNldIYCSNwtuQ","I Think I'm Paranoid","Garbage","Version 2.0","1","2","218053","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:5ZdrNnYV5VZWds4WXKf8kf","Ignorance","Paramore","brand new eyes","1","2","218626","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:7zAdmuSM43emjVSmwdBhSc","It Gets More Blue","Girlpool","Powerplant","1","11","206406","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:0Y1FLqg7c4YFCKP2F6HXsG","It's Getting Boring By The Sea","Blood Red Shoes","Box of Secrets","1","9","176160","spotify:user:martinthetallguy","2018-05-08T11:40:20Z"
"spotify:track:7wPX5ErKG1RZHtGa6wDOXh","Kids (Ain't All Right)","Grace Mitchell","Kids (Ain't All Right)","1","1","149506","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:5xvVqECUVNTBGbnPEzqn3I","King of the Kerb","Echobelly","On","1","2","238506","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:0PnHFj5p161OXGbQFHBSM9","Kiss Me When I Bleed","White Lung","Paradise","1","4","172013","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:5Rk5jfOkBmGOIVO6rQBsiC","Love And Leaving","Julie & The Wrong Guys","Love And Leaving","1","1","272360","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:3PBhfLyrgXs5Ph1b9b4mUD","Love, Love, Love","The Organ","Grab That Gun","1","3","211680","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:30lERIpNM6X3G4OrKDToyE","Make It Right","The Coathangers","Nosebleed Weekend","1","5","181293","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
"spotify:track:3dk8S3GihVfuVLRFRdmtPe","Melted Ice Cream","LUCIA","Melted Ice Cream","1","1","210942","spotify:user:martinthetallguy","2018-04-02T12:07:30Z"
